Frequency [Hz],TVR [dB],R [Ohm],X [Ohm]
37200,138.07629,34.47240906,-316.1335545
37300,138.07629,34.05501106,-314.9522876
37400,138.07629,33.56552431,-313.3120724
37500,138.07629,33.11531286,-311.7178333
37600,138.07629,32.73513352,-310.3144482
37700,138.07629,32.34361723,-308.7213685
37800,138.07629,32.02081783,-307.3144908
37900,138.07629,31.7317033,-305.9239752
38000,138.07629,31.48053363,-304.5214823
38100,138.07629,31.25331542,-302.9717049
38200,138.07629,31.18061926,-301.834888
38300,138.07629,31.10148182,-300.2767243
38400,138.07629,31.21259966,-299.1765276
38500,138.11956,31.39281551,-297.9593965
38600,138.16284,31.63741035,-296.7197534
38700,138.16284,31.97276144,-295.6981068
38800,138.16284,32.32295586,-294.6569741
38900,138.16284,32.73204822,-293.9016124
39000,138.16284,33.11371557,-293.1473868
39100,138.16284,33.46244333,-292.4726531
39200,138.16284,33.74151782,-291.8175498
39300,138.16284,34.02426254,-291.5819717
39400,138.16284,34.21697928,-291.3844512
39500,138.16284,34.26158129,-290.9655863
39600,138.16284,34.27335728,-290.791921
39700,138.20611,34.19777501,-290.6181386
39800,138.20611,34.07887202,-290.6130777
39900,138.20611,33.7861343,-290.2107869
40000,138.24938,33.51736106,-290.230016
40100,138.20611,33.07375578,-289.8072746
40200,138.20611,32.58484837,-289.4757066
40300,138.20611,31.97914271,-288.9012562
40400,138.20611,31.24421628,-287.9752798
40500,138.16284,30.56516871,-287.4741627
40600,138.16284,29.79993533,-286.6872432
40700,138.16284,29.02159142,-285.8868851
40800,138.16284,28.20207776,-284.8683721
40900,138.16284,27.38820148,-283.7915781
41000,138.16284,26.62839652,-282.8444454
41100,138.16284,25.90372038,-281.8728308
41200,138.16284,25.26692407,-281.1135764
41300,138.11956,24.5905248,-279.8642944
41400,138.07629,24.01213874,-278.9095794
41500,138.07629,23.45295641,-277.8285277
41600,138.07629,22.98169344,-277.0486766
41700,137.98975,22.46635813,-275.8048906
41800,137.98975,22.05925532,-275.0395326
41900,137.98975,21.625939,-273.9523048
