Frequency [Hz],TVR [dB],G [S],B [S]
45900,134.7861856,0.000448069,0.00160907
46000,134.7861856,0.000447371,0.001604745
46100,134.7861856,0.000446665,0.001596898
46200,134.8590304,0.000452593,0.001602028
46300,135.0235775,0.000462212,0.001612024
46400,135.1942229,0.000467473,0.001617576
46500,135.3296201,0.000480738,0.001617963
46600,135.445216,0.000495036,0.0016106
46700,135.7733078,0.000508177,0.001605397
46800,135.9534008,0.000517692,0.001599362
46900,136.2695598,0.00052963,0.001596404
47000,136.4445509,0.000541798,0.00159709
47100,136.5215614,0.000545301,0.0016012
47200,136.6302498,0.000553748,0.001619353
47300,136.7076013,0.000560164,0.001631295
47400,136.7932173,0.000566513,0.001638325
47500,136.8905904,0.000569416,0.001635341
47600,137.0368242,0.000576934,0.001629446
47700,137.1212734,0.000586237,0.001613053
47800,137.2314356,0.000594216,0.001600875
47900,137.2737335,0.000600799,0.001585178
48000,137.2279283,0.000600345,0.001578383
48100,137.1733749,0.000595215,0.001585613
48200,137.1594157,0.000593476,0.001587054
48300,137.2841647,0.000595809,0.001583311
48400,137.3975214,0.000603056,0.00157332
48500,137.4845194,0.000610967,0.001560765
48600,137.5106428,0.000613263,0.001553046
48700,137.5503829,0.000617046,0.001533224
48800,137.6290975,0.000618889,0.001515923
48900,137.6290975,0.000618959,0.001508897
49000,137.5106428,0.000616741,0.001502301
49100,137.5106428,0.000612107,0.001500588
49200,137.388356,0.000604558,0.001500598
49300,137.2467683,0.000600457,0.001500599
49400,137.1119387,0.000590023,0.00150062
49500,137.0368242,0.000582469,0.001497196
49600,136.8865489,0.00057397,0.001490576
49700,136.6643285,0.000568883,0.00148886
49800,136.5630055,0.000553976,0.001489336
49900,136.2645061,0.000535456,0.001496481
50000,136.1097965,0.000527171,0.001499362
50100,135.9146237,0.000511102,0.001504183
50200,135.7758002,0.000497166,0.001507825
50300,135.5537865,0.000485044,0.001515123
50400,135.3327868,0.000480549,0.001519814
50500,135.231088,0.000473374,0.001533579
50600,135.1625245,0.000467224,0.00154535
50700,135.1246528,0.000460778,0.001545147
50800,134.9046403,0.000456613,0.001538352
50900,134.8700815,0.000450609,0.001531747
51000,134.8021437,0.000447422,0.001530126
51100,134.7861856,0.000446286,0.001530057
51200,134.8132598,0.000447477,0.00153003
51300,135.0113813,0.000453323,0.001529715
51400,135.1415496,0.000462392,0.001533545
51500,135.2205194,0.000466373,0.001531407
51600,135.2802979,0.000473388,0.001528302
51700,135.3678037,0.000479041,0.001523599
51800,135.4969136,0.000481004,0.001517071
51900,135.4269134,0.000479908,0.001508951
52000,135.3219409,0.000474846,0.00149202
52100,135.1075243,0.000466848,0.001484163
52200,134.9142589,0.000462664,0.001487582
52300,134.8013039,0.000450172,0.00150447
52400,134.6677309,0.000440349,0.001517422
52500,134.6485507,0.000438373,0.001523666
52600,134.5945344,0.000439902,0.001523518
52700,134.5317076,0.000440387,0.001523509
